,star,comment,label
0,10,평점이 낮아서 안보려다 봤는데 보길 정말 잘했슴ㄷㅏ저는 지루하지않았고 후반부로 갈수록 정말 몰입감 있어요영화관에서 봤으면 정말 좋았을텐데 ㅜ ㅡ ㅠ 생각했어요 철학 우주에 관심있는분들 재밌게 볼것 같아요추천합니다,1
1,10,가슴 시리도록 기억에 오래 남을 영화 공유 전도연의 연기는 잊혀지지 않을 것 같네요,1
2,9,우리가 자라고 우리가 사랑을 하고 우리가 결혼을 하고 우리가 아이를 키우고 우리가 부모가 되는 것 그렇게 우리의 인생이 완성된다는 것을 완벽한 영화로 만들어냈다,1
3,7,믿고보는 황정밋 배우,1
4,10,으악 ㅋㅋ 너무무서웠어요 ㅠㅠ,1
6,7,변해가는 영화산업에 핵주먹을 날리며 외친다 영화는 좀 이래야 돼,1
8,9,나타샤 로마노프는 못잊을듯,1
9,9,황정민이 황정민한 영화 조연들 연기도 몰입도 짱,1
10,7,양조위의 연기가 멱살을 잡고 가네 마블이기 때문에 진행과 연출적인 부분은 기본으로 깔고 가는거지만 가장 중요한 텐링즈라는 무기의 메커니즘에 대해선 아무런 설명이 없이 그냥 연출하고 싶은대로 무기가 변해버리는거는 진짜 관객을 기만하는거다,1
12,8,말도안되는데 ㅎ 너무 잘만들었잖아요 다만 아쉬운게 포스터 왜 코미디 포스터인지 광고 영상도 그렇고 자신이 말하고 싶은것에 자신이 없으셨나 분명 검토했을텐데 감독님 얼굴보고 깜짝놀랐네요,1
13,7,뮤지컬 렌트를 만들었던 조나단 라슨의 이야기를 담았는데 빠르고 감각적인 편집과 등장하는 여러 배우들의 좋은 연기 그리고 흥미로운 음악은 영화를 볼만하게 만들어준다,1
14,10,먼 훗날 우리 다시 만날수 있을까 또 만나면 어떻게 할까,1
15,7,타란티노의 위대한 출발 팀 로스의 젊은 시절 멍해지는 엔딩,1
16,8,돈과 사기 권력의 힘은 진실을 절대로 이길수 없다 이영화를 보니 문죄앙과 조 바이든이 생각이 난다 가짜들이 선동을 하기 때문에 소수 사람들의 힘을 아예 너무 없게 만들어 버리기 때문이다,1
17,8,자칫 무겁게 흘러갈수 있는 스토리 라인을적절한 유머를 섞어주니 크게 부담스럽진 않다다만 마지막에 느껴지는 미묘한 감정은 꽤 진하게 남는다,1
18,10,중년이 돼서 다시 보게됐는데 촌스러운 땜에 웃겼다가 끝으로 갈수록 눈물 질질ㅠㅠㅠㅠ,1
19,8,멋진 배우들이 나오는 영화,1
20,7,셰익스피어의 언어를 좋아하는 사람은 배우들의 대사 표현력 보는 재미가 있다 영화 자체가 블록버스터가 아니고 관람객 수의 기대를 하지 않았을 듯한데 제작비 잘 아껴서 괜찮게 만들었다,1
21,8,유오성님 연기가 너무 좋았고 깡패세계의 냉혹함을 잘 보여준 영화였네요 킬링타임용으로 좋았어요,1
23,8,영화 재밌게 봤어요 ㅎ 그런데 강말금인가 하는 여배우뺑소니범 엄마역의 연기가 너무 어색해서 쫌 실망,1
